project,watchName,lastCheck,lastSynced,lastBattary,lastHR,lastSleepStartDateTime,lastSleepEndDateTime,lastSteps,lastBattaryVal,lastHRVal,lastHRSeq,lastSleepDur,lastStepsVal,CurrentFailedSync,TotalFailedSync,CurrentFailedHR,TotalFailedHR,CurrentFailedSleep,TotalFailedSleep,CurrentFailedSteps,TotalFailedSteps,CurrentFailedBattary,TotalFailedBattary,ID
fibro,fibro7,2025-04-06 15:00:24,2025-04-06T14:45:46,2025-04-06 15:00:24,2025-04-06 15:00:24,2025-04-06T00:14:00.000,2025-04-06T07:01:30.000,2025-04-06 15:00:24,91,68,"",6.791666666666667,42,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-06 16:00:25,2025-04-06T15:46:11,2025-04-06 16:00:25,2025-04-06 16:00:25,2025-04-06T12:41:00.000,2025-04-06T15:27:30.000,2025-04-06 16:00:25,90,56,"",2.775,8,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-06 17:00:22,2025-04-06T16:51:54,2025-04-06 17:00:22,2025-04-06 17:00:22,2025-04-06T12:41:00.000,2025-04-06T15:27:30.000,2025-04-06 17:00:22,90,58,"",2.775,9,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-06 18:00:18,2025-04-06T17:28:35,2025-04-06 18:00:18,2025-04-06 18:00:18,2025-04-06T12:41:00.000,2025-04-06T15:27:30.000,2025-04-06 18:00:18,90,60,"",2.775,10,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-06 19:00:14,2025-04-06T18:42:04,2025-04-06 19:00:14,2025-04-06 19:00:14,2025-04-06T12:41:00.000,2025-04-06T15:27:30.000,2025-04-06 19:00:14,89,67,"",2.775,15,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 09:46:13,2025-04-08T09:35:33,2025-04-08 09:46:13,2025-04-08 09:46:13,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 09:46:13,74,65,"",7.783333333333333,24,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 09:54:37,2025-04-08T09:35:33,2025-04-08 09:54:37,2025-04-08 09:54:37,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 09:54:37,74,65,"",7.783333333333333,24,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:00:29,2025-04-08T09:50:38,2025-04-08 10:00:29,2025-04-08 10:00:29,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:00:29,74,61,"",7.783333333333333,24,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:02:00,2025-04-08T09:50:38,2025-04-08 10:02:00,2025-04-08 10:02:00,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:02:00,74,61,"",7.783333333333333,24,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:20:01,2025-04-08T10:05:45,2025-04-08 10:20:01,2025-04-08 10:20:01,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:20:01,73,56,"",7.783333333333333,8,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:24:32,2025-04-08T10:05:45,2025-04-08 10:24:32,2025-04-08 10:24:32,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:24:32,73,56,"",7.783333333333333,8,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:28:52,2025-04-08T10:20:50,2025-04-08 10:28:52,2025-04-08 10:28:52,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:28:52,73,61,"",7.783333333333333,18,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:34:07,2025-04-08T10:20:50,2025-04-08 10:34:07,2025-04-08 10:34:07,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:34:07,73,61,"",7.783333333333333,18,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:38:30,2025-04-08T10:20:50,2025-04-08 10:38:30,2025-04-08 10:38:30,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:38:30,73,61,"",7.783333333333333,18,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 10:44:26,2025-04-08T10:35:55,2025-04-08 10:44:26,2025-04-08 10:44:26,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 10:44:26,73,70,"",7.783333333333333,9,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
fibro,fibro7,2025-04-08 11:00:28,2025-04-08T10:51:02,2025-04-08 11:00:28,2025-04-08 11:00:28,2025-04-07T23:43:00.000,2025-04-08T07:30:00.000,2025-04-08 11:00:28,73,60,"",7.783333333333333,7,0,0,0,0,0,0,0,0,0,0,fibro-fibro7
